Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,sbd
5.6,8,7,8.25,,,,8.4,8.25,51000001
6,9.25,8.75,9,,,,5.6,8.75,51000009
7.8,6.75,,,4.75,8,7,4.2,,51000003
6.2,7.5,6.25,7.25,,,,7,9,51000005
8.8,6.5,,,4.75,5.75,5,4.4,,51000002
8,7.25,,,7.75,6.75,4.5,8.2,,51000007
8.8,6.25,,,8.75,8.75,4.25,7.2,,51000006
6.8,7,,,4.5,6.75,3.75,,,51000010
7.2,9,,,5.25,7.25,6.75,4.4,,51000008
7.6,9,7.75,8,,,,8.8,8,51000004
7.6,7.25,,,6.75,5.75,3.5,4.2,,51000016
8,7.25,,,8.5,3.5,6.25,9.2,,51000011
9,4.25,,,4.75,8.5,6.25,8.6,,51000013
8.4,8,,,7.75,6.75,7,6.2,,51000012
8,9,,,7,4.5,5.25,6,,51000015
8.6,8,7.25,7.25,,,,5.6,8.25,51000014
6,7.17,,,5.5,5.75,4.5,6.6,,51000017
7.6,8,,,6,8.75,6.25,9,,51000018
4.8,5.75,7,6,,,,,,51000020
7.4,8,7.25,7.5,,,,8,8.5,51000019
8.2,7.25,7.75,7.75,,,,7.8,9,51000022
4.8,4,7.5,6.75,,,,,,51000023
6.4,7,,,5.25,4.75,4.5,8.6,,51000025
8.4,7.75,,,8,7.5,5.25,7,,51000027
8.4,8.5,,,8.75,4.75,3.25,8.2,,51000026
8,8.75,5.25,6.5,,,,6.4,6.5,51000028
8.2,9.25,,,8.25,8.25,5.5,8.4,,51000021
6.8,7.5,8.25,7.25,,,,8,8.25,51000024
7.6,8,9,9.25,,,,6.2,9.75,51000032
7.4,7,8.75,7.75,,,,7.2,9.75,51000029
7.2,7.5,6.75,7,,,,8.4,7.5,51000030
7.8,6.75,4.25,7,,,,5.6,7,51000031
8.6,7,,,7,7.25,7.5,9,,51000034
7.8,7,8.25,8,,,,6.8,9.5,51000033
7.8,8,,,8.25,7.5,5.5,7.2,,51000038
8.2,7.5,,,7.5,7.25,5.75,7.2,,51000039
8.6,6.25,6,6.75,,,,6.6,9,51000037
7.4,4.25,,,6.5,8.25,6.25,9.6,,51000040
7.6,8,6.25,7.5,,,,8.8,8.25,51000035
6.4,7.75,,,6,4.75,4,7.4,,51000042
8.8,6,,,6.75,8.25,5.5,4.8,,51000041
,7,6.75,5.75,,,,,,51000036
6.6,6,7.25,6.75,,,,9.2,9.25,51000043
3,5.5,3.75,4.75,,,,,,51000045
6,8.5,8.75,5.75,,,,7.6,7.25,51000044
8.4,7.75,7.25,7.25,,,,8.4,8.5,51000047
3.2,1.5,3.75,5.5,,,,2,4.25,51000046
6.6,7.5,5.25,7.75,,,,7,7.75,51000048
7.4,8.5,5.5,6,,,,8,8,51000049
8.2,6.25,,,6.75,8.5,5.5,7.6,,51000051
8,6.25,8.75,8,,,,,,51000053
8.8,9,7.25,8.25,,,,8.6,9.25,51000055
8,7.5,6.25,7.5,,,,6.8,8.75,51000056
3.6,6,7,6.5,,,,6.4,8.5,51000052
6.8,5.25,5.75,8,,,,,,51000054
7.2,9,,,5.25,8,7.25,7.2,,51000058
4.8,7.75,8.25,7,,,,5.8,8.5,51000050
8.2,7.25,,,6.5,5.25,4,8.4,,51000059
8.4,7.75,,,4.75,5.75,6,6.8,,51000060
8.2,9,6.5,7.25,,,,8.4,8.25,51000057
6.2,7.75,7,8.5,,,,6.2,7.5,51000061
7.2,7.25,,,7,6.5,5,8.6,,51000062
7.8,5,,,7.5,4.25,3.75,5.6,,51000064
7.6,7.25,,,6.75,8,8.25,6.8,,51000063
3.8,3,5.5,5.75,,,,,,51000066
8,7.5,7.5,7.5,,,,8.4,7.75,51000065
,5.5,7.5,8.25,,,,,,51000067
