Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,sbd
7.8,8.5,5.5,7.75,,,,9.8,9,51000001
6.4,7.5,6.25,7.25,,,,5.6,9.25,51000009
7.4,8,,,7.5,7.5,3.75,7.2,,51000008
6.8,8.25,6.75,7.5,,,,5.4,7.25,51000006
2.2,,,,3.5,3.75,,,,51000004
7.2,6.25,,,6.75,5.75,4.5,7.8,,51000002
8.2,6,,,8.25,5.25,5.75,8.8,,51000003
7.6,8.5,5.25,7.75,,,,9,9,51000007
6,7,5.25,7,,,,8.6,8.75,51000005
8.2,7,,,4.5,7,7.5,5.2,,51000010
7.4,8.25,5.25,7.5,,,,9.6,7.5,51000011
6,8,4,7.25,,,,5.2,8.75,51000012
7,7,,,6.5,6,4.25,7.2,,51000013
6.8,7.5,,,5.5,7.5,5,8.4,,51000015
7.4,7,,,6,7.25,8,9.6,,51000016
7.4,7.5,,,5.5,5.25,5.5,9,,51000018
8.4,8.25,,,7.75,3.25,5.25,9,,51000019
6.2,7.25,8.25,8.75,,,,7.6,8.25,51000021
7.2,8.5,5,6.5,,,,8.4,8.75,51000020
4.8,6,5,,,,,,,51000014
7.4,6.5,,,6.75,3.75,4.75,9.4,,51000017
7.2,6.5,,,5.25,5.5,6.25,7.6,,51000024
7.8,6.75,,,7.75,8,6,7.4,,51000026
8.2,7.5,5,7,,,,8.2,8,51000022
8.4,7.25,4.25,7.75,,,,6.8,8.5,51000025
9.2,7,,,8,7.75,7,8.2,,51000028
8.2,6.5,,,7.75,4.75,5,8.8,,51000029
3.6,3.5,3.5,4,,,,,,51000031
7.6,7,4.75,7.5,,,,7,9,51000030
7.6,7.25,,,7.25,8,5.25,7,,51000027
6.8,8,4,7,,,,5,8.5,51000032
7.8,8,6,7.75,,,,7.8,8.75,51000033
7.2,7.5,,,6.5,8,5.5,9.4,,51000034
5,5,3,,,,,,,51000035
8,7.25,,,7,4.25,4.75,7.6,,51000036
9,7.5,,,8.75,8.25,5.5,8.8,,51000037
7.6,5.75,,,6.5,8,5.5,9.4,,51000040
6.2,6.25,5,6.75,,,,,,51000039
4.2,4,4.5,5.25,,,,,,51000042
3.2,4.25,4.5,6.25,,,,3.4,5.75,51000043
7.8,5.5,,,6.25,6.25,5,8.6,,51000041
9.2,7.25,,,5.25,6.75,5.75,9.2,,51000044
7.4,6.5,,,7.25,7.5,6,7.4,,51000038
6.6,8.25,5.5,6.75,,,,8,7.75,51000045
3.6,5.25,6.25,,,,,,,51000046
8.4,7.5,,,7.5,7.75,4.75,8.6,,51000048
7.2,8.5,,,7.5,6,7.5,9,,51000050
8.4,7,4.75,7,,,,8.4,7,51000049
7,8,6,8.75,,,,9.2,9.75,51000047
8,8.5,,,7.25,6.5,5.5,8.6,,51000051
6.8,5.75,,,6,6.5,5,6,,51000052
8.2,7.08,,,7.5,3,5.5,9,,51000053
6.8,7.75,,,5,4.75,3.25,7.8,,51000054
7.8,8.25,6.75,7.75,,,,9.6,8.5,51000055
6.8,4.5,9,,,,,,,51000057
6.6,8,7.75,8.25,,,,8.6,9.25,51000056
7.6,6.5,,,5.75,8,5.25,8.8,,51000058
8.2,,,,,6.25,9,,,51000059
8.2,4.5,,,7,6.5,5.25,7.6,,51000060
8.2,6.75,6,7.25,,,,8.2,9,51000061
6.6,6.75,,,5.25,4.25,4.25,6.8,,51000062
9.2,7.5,,,8.5,7.75,5.75,7,,51000063
3.6,5.5,6,5.75,,,,1.8,8,51000064
7.8,7,,,7.75,8.5,3.5,7,,51000066
,4.5,3.25,4.25,,,,,,51000065
7.8,8.75,9.75,8.75,,,,8.6,9.75,51000067
5.6,8,7.25,8,,,,,,51000068
8.8,5,,,7.25,4.5,4.75,9.4,,51000069
5,5.75,7.75,,,,,,,51000070
7.8,8.75,4,7.25,,,,9,8.75,51000072
8.2,8.5,,,8.5,6.5,5.75,9.4,,51000071
7.6,8.75,,,7.25,5.5,5.5,8.8,,51000073
7.6,8.25,5.75,6,,,,8.6,7.25,51000075
6.2,6.5,4.5,6.75,,,,6.8,7.5,51000074
7,7.25,4.5,7,,,,7.8,8.75,51000076
7.8,6.5,,,7.25,8,5.75,7,,51000077
8.4,7.5,,,8,7.25,5,6.6,,51000078
7.4,7.25,,,7.5,6.25,5.75,9.4,,51000079
7.2,7.5,7.75,8.75,,,,8.2,9.25,51000081
5.8,8.5,,,3.5,8.75,5.75,8,,51000080
8.2,6.75,,,7.5,4,7,8.2,,51000083
,6.5,4.75,7,,,,,,51000082
8.4,6.75,,,6.25,4.5,6.25,7.4,,51000084
8.2,7.25,,,8.5,6.5,5.25,8.6,,51000085
6.8,8.25,8.25,8,,,,,,51000086
7,6,6.5,7.25,,,,,,51000087
6.2,5.75,6.5,6.5,,,,2.6,9.5,51000088
7.2,5.75,,,7,8.75,4.5,5.2,,51000091
6,6.5,5.25,8,,,,8,8.5,51000093
7.8,8.25,,,6.75,7.5,7,8.4,,51000090
6.4,7.67,4.5,8,,,,7.2,8.5,51000092
7.6,5,,,5,7.75,8,5.4,,51000094
8,8,,,7,7.25,7.75,7,,51000089
3.2,5.75,2.5,6,,,,3.4,6.5,51000096
5.6,3.5,6.5,7,,,,,,51000095
7.4,8.25,7.5,8,,,,8.2,8.75,51000098
7.2,7,,,5.5,7.25,4.25,7,,51000099
8.2,6.75,,,6.75,7.25,8,3.8,,51000097
8.2,8,7.25,8.25,,,,8.8,8,51000100
8.6,7.25,,,6,8,8.5,9.2,,51000101
8,8.5,6.5,7.25,,,,8.6,9.5,51000102
7.2,8.5,7,8.75,,,,9.6,7.75,51000103
8,8.5,5,6,,,,6.4,8.25,51000104
,5.25,3.25,6.5,,,,,,51000105
8.2,7.5,,,7.5,5.25,7.75,9.6,,51000106
6.6,7,7.5,9.25,,,,,,51000107
6.2,8.5,7,6.75,,,,9,9.75,51000108
8.4,7.5,,,8.5,4,5,9.4,,51000109
7.8,7.75,,,7.5,3,5.5,9.2,,51000110
7.4,5.75,6.25,6,,,,8.8,6.75,51000111
7.8,7,,,3.5,8.5,8,7.6,,51000112
8.2,7.25,,,8,7.25,4.75,9.2,,51000114
8,7.25,4.75,9,,,,8.8,7.75,51000113
8,7.25,,,7.5,4.5,4,9.4,,51000115
7.4,7,,,6.5,5.75,2.5,8.8,,51000116
5.6,6.5,5.75,7.75,,,,3.4,8,51000117
8.4,8.5,,,7.25,4.75,7,9.6,,51000118
7.8,7,,,5,5.75,5.25,6,,51000119
8.6,7.5,,,4.75,8.75,8,6.6,,51000120
5.2,7.5,4.5,6.25,,,,7.2,8.75,51000122
7.8,6.5,5.5,,,,,,,51000121
8,8.5,,,8,4.5,7,8,,51000123
8,7.5,6.75,7.5,,,,9.2,8.5,51000124
9,8.5,,,6.75,8.25,8,9.6,,51000125
6.8,7.5,7.5,7.5,,,,5.2,6.5,51000126
8,8.5,,,8,7.75,6.75,5.8,,51000128
3.8,5.5,3.25,6.5,,,,3,7,51000127
2.6,5.25,5.5,5.25,,,,,,51000129
5.4,6,4,5.75,,,,1.8,8.5,51000130
2.6,4.25,3,6.75,,,,1.8,7.25,51000131
7,9,9.5,9.25,,,,7.8,9.5,51000132
4.4,5,4.25,7.75,,,,,,51000133
8.8,8,,,8.25,5.75,3.75,9,,51000135
8.8,8.25,8.25,8.5,,,,8,9.5,51000134
8.6,8.5,,,4.25,8.25,7.5,8.8,,51000136
7.4,6.75,,,7,5.5,4.25,6,,51000137
6.8,8.75,9.5,9.5,,,,9,7.5,51000138
6.6,7.75,7,8.5,,,,7,9.25,51000139
8.8,8.25,5.5,6.75,,,,8.8,9,51000140
7.8,9,6.5,7.75,,,,8.8,9.75,51000141
9.2,7.5,,,8.25,8.25,4.75,7.6,,51000142
7.6,6.25,5.75,6.5,,,,8.4,9,51000143
5.2,7,5.25,6.75,,,,4,7.5,51000144
3,6,4,5.75,,,,3,7.75,51000146
5.6,5.75,7.75,,,,,,,51000145
4.2,5.75,3.75,,,,,,,51000147
9,6.5,,,7.75,5.75,6.25,8,,51000148
6.8,5.5,4.75,7.5,,,,7.4,9.5,51000149
7,8.25,,,6.75,8.5,8.25,8,,51000150
8.8,6.75,,,7.75,7.75,7.25,8.2,,51000151
5.8,9.25,8,7.25,,,,9.4,9,51000152
7.2,8.25,7,8,,,,8.4,8.75,51000153
6.6,7.5,,,5.5,3.75,4,7,,51000154
8.6,7,,,5.5,8.25,8,4.6,,51000155
8.8,7,,,7.75,5.25,5.25,8,,51000156
8,7.5,,,4.75,8,8.25,5.4,,51000157
8.6,6.75,,,7.25,8.25,8.25,6.4,,51000158
8.4,6.25,,,7.25,7.5,7,9.2,,51000159
8,6.5,,,6.5,3.75,5,7,,51000160
2.8,4.5,4.5,7.5,,,,,,51000161
8.4,7,,,6.5,5.25,4.25,9.4,,51000162
5.4,8.5,8.75,9.5,,,,8.6,9.25,51000163
8.2,6.25,,,7.75,2.5,3.75,8.4,,51000164
7.8,,,,5.25,7.75,7.75,,,51000165
7,8,8.75,8.5,,,,8.8,9.25,51000167
7.8,5.5,,,6,7.5,5.25,7.6,,51000166
7.6,8.25,8.25,8.75,,,,8.6,9,51000168
8.8,4.75,,,7,7.5,4.5,6.4,,51000169
9,8.25,8.75,9.5,,,,8.8,9.25,51000170
3,3.75,3.75,5.75,,,,3,6.75,51000171
7.8,6.5,,,8,5,3.75,9.4,,51000172
6.6,6.25,8.75,8,,,,7.2,8.5,51000173
7.6,7.75,,,7,6.25,5.75,9.4,,51000175
4.2,1.5,2.25,3.25,,,,,,51000174
8.8,4.75,,,6.25,8.25,5.75,8,,51000176
6.8,8.25,4.75,7,,,,7.4,8.75,51000177
8.6,8,,,6,8.5,9.75,7.2,,51000178
5.4,8.5,7.5,8.75,,,,7.6,8.5,51000179
8,8.5,5.75,8,,,,8.4,9,51000180
6.4,6.75,4,6,,,,4.2,7.75,51000181
7.2,7.75,6.75,8.25,,,,7.4,7.5,51000182
9.2,7,,,8,8.25,7.5,7,,51000185
7.8,6.75,,,8,7.25,5.5,8.4,,51000184
,,3.25,7,,,,,8.25,51000183
8.2,9,,,8,8,6.25,8.2,,51000186
8,5.75,,,7.25,4.75,4.5,6.6,,51000187
3.6,5,2.75,,,,,,,51000188
8.6,5.5,,,8,8.25,4.5,7,,51000190
6.4,6,6.75,7.75,,,,4.6,8.5,51000192
5.4,5.75,4.75,7.25,,,,2.4,7.5,51000191
7.6,6.5,,,8.25,7.75,5.25,9,,51000193
7.4,7.75,6,7.75,,,,7,8.25,51000194
7.6,6.25,,,6.75,3,3.5,8.8,,51000195
7.6,6.75,,,6,6,4.75,6.6,,51000196
8,5.25,,,7.25,8.5,3.75,5.4,,51000189
7.6,7,5.5,7.25,,,,8.8,7.75,51000197
7.8,6.25,,,7.25,5.5,5.75,9.2,,51000200
5.6,7,8,,,,,,,51000199
4.8,6.25,,,0.75,4,3.5,7.4,,51000198
8.2,7.75,,,6,5.75,5.25,8.4,,51000201
8,5.75,,,6,5,3.75,8.2,,51000202
6.8,6.25,,,7,4.75,4.75,9,,51000203
4,5.25,4.75,,,,,,,51000204
8,7.75,,,7.5,5.5,4.75,9.2,,51000209
8,6.75,6.25,7.75,,,,6.6,8.75,51000206
7.6,8,,,6,5.5,7,8.4,,51000205
7,6.5,,,6.25,4.5,3.5,8,,51000208
7.8,7.5,,,6,5,6.5,9.2,,51000210
7.4,7.75,5.5,7.5,,,,8.2,9,51000207
8.6,8.5,,,8.75,8,7.5,9.8,,51000211
6.8,5.83,8,7.25,,,,7.2,7.75,51000212
8.2,6,,,7.25,8.75,5.25,8.2,,51000215
3,4,4.75,7.25,,,,3.2,7.75,51000214
4.4,5.25,4.75,5.75,,,,3.2,8,51000216
7.4,8.25,7,7.75,,,,7.2,8,51000217
7.8,6.5,,,7.5,4.5,6.25,9,,51000213
4.4,5,5.5,7,,,,,,51000218
7.2,6.25,,,6.5,6.25,4,6.6,,51000219
5.8,6,5.5,7,,,,2.4,9.25,51000220
5.4,5.5,5.25,6.75,,,,2.6,8.75,51000222
8,8.5,,,5.25,8,6.5,9.6,,51000224
8,8.25,,,5.75,8.25,7.75,7.2,,51000223
6,5.75,2.25,6.75,,,,3.8,6.25,51000226
8.4,7.75,,,6.25,4.75,7.75,8,,51000225
6.4,5.08,5.75,7.25,,,,3.6,8.75,51000221
8.2,9,7.25,8.5,,,,8.4,9.75,51000227
7.6,5.5,,,5.75,3.5,3.25,9.2,,51000228
5.4,6.12,3.5,8,,,,3.6,9,51000229
7,7,5.25,,,,,,,51000231
4.6,5.58,4.75,5.5,,,,,,51000232
6,5.75,7.25,8.25,,,,7,7.5,51000230
3.2,4,3,4,,,,,,51000233
7.8,8.5,7.25,7.5,,,,8.8,9.75,51000236
7.4,7.5,,,5.75,3.5,3.75,7,,51000234
8.6,8.75,,,7,8,6.25,7.8,,51000235
5.8,4.58,6,6,,,,2.6,7.75,51000237
8.4,8.5,,,6.25,7.25,7.75,9.2,,51000240
9,6.25,,,8,6.25,6.75,9.4,,51000239
5.6,4.5,4.5,7,,,,,,51000241
3.8,6.75,5.25,,,,,,,51000243
4.2,2.5,3.75,6.5,,,,,,51000238
8.4,7.5,5.25,7.75,,,,8.4,7.75,51000244
7.8,6,5,8.75,,,,7.4,8.25,51000242
8.2,7.5,4.5,8.25,,,,8.4,9.25,51000246
8.8,6.75,,,7.5,8.75,6,8.4,,51000247
,6.25,7.25,6,,,,,,51000245
5.8,7.25,3.75,7.25,,,,5,8.25,51000248
6.2,7.5,4.75,7.25,,,,4.4,8,51000250
7.6,6.5,4.5,6.25,,,,7.8,7.25,51000251
7.6,7,2.75,7.25,,,,8.6,7.75,51000249
8.4,8.5,6.5,6.5,,,,8.8,9,51000252
3,4.25,5,,,,,,,51000254
8.2,8.5,8,8.25,,,,10,9.75,51000253
8,8,8,,,,,,,51000255
2.4,2,2.5,,,,,,,51000256
7.2,7,5.5,7,,,,8.4,8.75,51000258
5.8,5.75,6.75,8.75,,,,9.8,9.25,51000259
4,6.75,6,6.5,,,,3.6,7.5,51000257
7,8,7.5,7,,,,9.2,9.5,51000260
5,5.5,5.75,5.5,,,,,,51000261
8.4,8.25,,,8.25,8.75,7.25,9.6,,51000263
6.4,6.5,5.5,6.25,,,,,,51000262
6,7.25,6.75,,,,,,,51000264
,9.25,9,9.5,,,,,,51000265
7.6,8.75,5,7.5,,,,7.8,7.5,51000267
4.8,6,2.75,5,,,,,,51000268
5,6.75,6.5,7,,,,,,51000266
8.8,6.75,,,7.75,7.25,5,7,,51000269
7,8.25,8,8.5,,,,7.4,9.75,51000270
7.8,7,,,5,8,8,5.8,,51000271
7.2,8.25,,,8,4.5,4.75,9.2,,51000272
8.2,6,,,6.5,6.75,8.25,8.4,,51000274
3,2.75,2.75,,,,,3.2,4.75,51000273
5.8,5.83,7.75,7.75,,,,2.8,8.75,51000275
6,4,2.75,,,,,,,51000276
