Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,DiemTongKet
5.6,8.0,7.0,8.25,-1.0,-1.0,-1.0,8.4,8.25,7.583333333333333
6.0,9.25,8.75,9.0,-1.0,-1.0,-1.0,5.6,8.75,7.891666666666667
7.8,6.75,-1.0,-1.0,4.75,8.0,7.0,4.2,-1.0,6.416666666666667
6.2,7.5,6.25,7.25,-1.0,-1.0,-1.0,7.0,9.0,7.2
8.8,6.5,-1.0,-1.0,4.75,5.75,5.0,4.4,-1.0,5.866666666666667
8.0,7.25,-1.0,-1.0,7.75,6.75,4.5,8.2,-1.0,7.075
8.8,6.25,-1.0,-1.0,8.75,8.75,4.25,7.2,-1.0,7.333333333333333
6.8,7.0,-1.0,-1.0,4.5,6.75,3.75,-1.0,-1.0,5.76
7.2,9.0,-1.0,-1.0,5.25,7.25,6.75,4.4,-1.0,6.641666666666666
7.6,9.0,7.75,8.0,-1.0,-1.0,-1.0,8.8,8.0,8.191666666666668
7.6,7.25,-1.0,-1.0,6.75,5.75,3.5,4.2,-1.0,5.841666666666666
8.0,7.25,-1.0,-1.0,8.5,3.5,6.25,9.2,-1.0,7.116666666666667
9.0,4.25,-1.0,-1.0,4.75,8.5,6.25,8.6,-1.0,6.891666666666667
8.4,8.0,-1.0,-1.0,7.75,6.75,7.0,6.2,-1.0,7.349999999999999
8.0,9.0,-1.0,-1.0,7.0,4.5,5.25,6.0,-1.0,6.625
8.6,8.0,7.25,7.25,-1.0,-1.0,-1.0,5.6,8.25,7.491666666666667
6.0,7.17,-1.0,-1.0,5.5,5.75,4.5,6.6,-1.0,5.920000000000001
7.6,8.0,-1.0,-1.0,6.0,8.75,6.25,9.0,-1.0,7.6000000000000005
4.8,5.75,7.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.8875
7.4,8.0,7.25,7.5,-1.0,-1.0,-1.0,8.0,8.5,7.7749999999999995
8.2,7.25,7.75,7.75,-1.0,-1.0,-1.0,7.8,9.0,7.958333333333333
4.8,4.0,7.5,6.75,-1.0,-1.0,-1.0,-1.0,-1.0,5.7625
6.4,7.0,-1.0,-1.0,5.25,4.75,4.5,8.6,-1.0,6.083333333333333
8.4,7.75,-1.0,-1.0,8.0,7.5,5.25,7.0,-1.0,7.316666666666666
8.4,8.5,-1.0,-1.0,8.75,4.75,3.25,8.2,-1.0,6.974999999999999
8.0,8.75,5.25,6.5,-1.0,-1.0,-1.0,6.4,6.5,6.8999999999999995
8.2,9.25,-1.0,-1.0,8.25,8.25,5.5,8.4,-1.0,7.974999999999999
6.8,7.5,8.25,7.25,-1.0,-1.0,-1.0,8.0,8.25,7.675
7.6,8.0,9.0,9.25,-1.0,-1.0,-1.0,6.2,9.75,8.3
7.4,7.0,8.75,7.75,-1.0,-1.0,-1.0,7.2,9.75,7.9750000000000005
7.2,7.5,6.75,7.0,-1.0,-1.0,-1.0,8.4,7.5,7.391666666666667
7.8,6.75,4.25,7.0,-1.0,-1.0,-1.0,5.6,7.0,6.3999999999999995
8.6,7.0,-1.0,-1.0,7.0,7.25,7.5,9.0,-1.0,7.7250000000000005
7.8,7.0,8.25,8.0,-1.0,-1.0,-1.0,6.8,9.5,7.891666666666667
7.8,8.0,-1.0,-1.0,8.25,7.5,5.5,7.2,-1.0,7.375
8.2,7.5,-1.0,-1.0,7.5,7.25,5.75,7.2,-1.0,7.233333333333333
8.6,6.25,6.0,6.75,-1.0,-1.0,-1.0,6.6,9.0,7.2
7.4,4.25,-1.0,-1.0,6.5,8.25,6.25,9.6,-1.0,7.041666666666667
7.6,8.0,6.25,7.5,-1.0,-1.0,-1.0,8.8,8.25,7.733333333333334
6.4,7.75,-1.0,-1.0,6.0,4.75,4.0,7.4,-1.0,6.05
8.8,6.0,-1.0,-1.0,6.75,8.25,5.5,4.8,-1.0,6.683333333333334
-1.0,7.0,6.75,5.75,-1.0,-1.0,-1.0,-1.0,-1.0,6.5
6.6,6.0,7.25,6.75,-1.0,-1.0,-1.0,9.2,9.25,7.508333333333333
